comment,original,translation
PBCwizard#23,Add,Pridėti
PBCwizard#24,Default Program Icon,Numatytoji programos piktograma
PBCwizard#25,Register MIME Types,Užregistruoti MIME tipus
PBCwizard#26,"<font>Some programs need to register file-types to function fully. You may specifiy up to 100 file extensions and the programs they are opened with.<br>
<br>
If you do not wish to register any file-types, you can safely ignore this section, and click next. </font>","<font>Kai kurioms programoms reikia užregistruoti failų tipus, kad jos veiktų pilnai. Jūs galite nurodyti iki 100 failo plėtinių ir programų, su kuriomis jie bus atveriami.<br>
<br>
Jei nenorite registruoti failų tipų, galite saugiai praleisti šį žingsnį ir pasirinktį kitą. </font>"
PBCwizard#27,Mime Types,MIME tipai
PBCwizard#28,Creating Package,Paketo kūrimas
PBCwizard#29,"<p align=""center"">Creating Package</p>","<p align=""center"">Paketo kūrimas</p>"
PBCwizard#30,Choose a directory,Pasirinkite katalogą
PBCwizard#31,Icon Files,Piktogramų failai
PBCwizard#32,Choose an Icon,Pasirinkite piktogramą
PBCwizard#33,PBI Version:,PBI versija:
PBCwizard#34,Load saved preset,Užkrauti išsaugotas paketo parinktis
PBCwizard#35,"Your software package is now being created! Please wait, this may take a few moments, depending on the size of your package.

In addition, you may also save a ""preset"" file, which may be loaded in the package creator for modification. ","Šiuo metu kuriame jūsų paketą! Prašome palaukti, priklausomai nuo paketo dydžio, tai gali šiek tiek užtrukti.

Be to, jūs galite išsaugoti paketo kūrimo parinktis, kurias galėsite užkrauti vėliau, norėdami pataisyti paketą. "
PBCwizard#36,Save preset,Išsaugoti paketo parinktis
PBCwizard#37,Invalid Fle,Klaidingas failas
PBCwizard#38,"Error, this .pbc file is corrupt, or for the wrong version of Package Creator.","Klaida, šis .pcb failas yra sugadintas, arba skirtas kitai paketų kurėjo versijai."
PBCwizard#39,Update URL:,Naujinimo svetainė:
PBCwizard#40,Edit Firstrun Script,Taisyti pirmo paleidimo scenarijų
PBCwizard#41,Edit Setup Script,Taisyti įdiegimo scenarijų
PBCwizard#42,Edit Remove Script,Taisyti pašalinimo scenarijų
PBCwizard#43,"<font>Specify the program directory you wish to include, then choose an option for library files.  You will need to choose an option for your libraries also. We recommend to use the ""Auto"" option, as this will include the necessary libraries for your program to operate on a variety of systems. <br><br>
WARNING: Not including a library directory may render this program inoperable on systems without the required libraries.<br><br>You may also edit your initial FirstRun script, and Setup / Remove Scripts here. </font>","<font>Nurodykite programos katalogą, kurį norite pridėti, tada pasirinkite bibliotekų failų nustatymą.  Jums taip pat reikės nurodyti ir savo bibliotekų nustatymą. Rekomenduojame naudoti ""Automatinį"" režimą, kuris surinks visas jūsų programai reikalingas bibliotekas. <br><br>
ĮSPĖJIMAS: neįtraukus bibliotekų katalogo programa gali neveikti sistemose be reikiamų bibliotekų.<br><br>Čia galite taisyti pirmo paleidimo, įdiegimo ir pašalinimo scenarijus.</font>"
PBCwizard#44,"This information will be used during the installation, as well as in the package manager for administration. 

If you have a preset file, you may load it below. 

If you wish to run an ""update"" service for this PBI, enter the full URL for version check script. Please see the README for more information. 

","Ši informacija bus naudojama diegimo metu, taip pat ir paketų tvarkyklėje. 

Žemiau galite užkrauti nustatymų failą, jei jį išsaugojote. 

Jei norite paleisti ""atnaujinimo"" paslaugą šiam PBI, įveskite pilną interneto adresą versijos tikrinimo scenarijui. Daugiau informacijos ieškokite README faile. 

"
PBCwizard#45,PBI Creator 4,PBI kūrėjas 4
PBCwizard#46,Creating PBI file...,Kuriamas PBI failas...
PBCwizard#47,Unable to write preset file to ',Nepavyko išsaugoti nustatymų į '
PBCwizard#48,"\'. Check the location exists, and is writeable.","\'. Patikrinkite, ar nurodyta vieta egzistuoja ir turi leidimą rašymui."
PBCwizard#49,Unable to save preset,Nepavyko išsaugoti nustatymų.
