comment,original,translation
wifiselectiondialog#14,No SSID!,Nėra SSID!
wifiselectiondialog#15,"Error: You must select a wireless network to connect!
","Klaida: norėdami prisijungti privalote pasirinkti belaidį tinklą!
"
wifiselectiondialog#16,Invalid BSSID!,Neteisingas BSSID!
wifiselectiondialog#17,"Error: The specified BSSID appears invalid. It must be in the format xx:xx:xx:xx:xx:xx
","Klaida: nurodytas BSSID yra neteisingas. Jis turi būti formate xx:xx:xx:xx:xx:xx
"
wifiselectiondialog#18,Warning,Įspėjimas
wifiselectiondialog#19,"WEP is selected, but not configured!
Please configure your WEP key before saving!","Pasirinktas WEP, tačiau jis nesukonfigūruotas!
Prieš išsaugant sukonfigūruokite WEP raktą!"
wifiselectiondialog#20,"WPA-Personal is selected, but not configured!
Please configure your WPA key before saving!","Pasirinktas WEP-Personal, tačiau jis nesukonfigūruotas!
Prieš išsaugant sukonfigūruokite WPA raktą!"
wifiselectiondialog#21,"WPA-Enterprise is selected, but not configured!
Please configure your WPA settings before saving!","Pasirinktas WEP-Enterprise, tačiau jis nesukonfigūruotas!
Prašome sukonfigūruoti WPA parametrus prieš išsaugant!"
wifiselectiondialog#22,WEP (Configured),WEP (sukonfigūruotas)
wifiselectiondialog#23,WPA Personal (Configured),WPA Personal (sukonfigūruotas)
wifiselectiondialog#24,WPA Enterprise (Configured),WPA Enterprise (sukonfigūruotas)
