comment,original,translation
PBSystemTab#13,"<font size=""-1""><font color=""#ff0000"">Warning!!! Changing the booted kernel can be dangerous. Use at your own risk!</font></font>","<font size=""-1""><font color=""#ff0000"">Įspėjimas!!! Pakrauto branduolio pakeitimas gali būti pavojingas. Už riziką atsakingi jūs patys!</font></font>"
PBSystemTab#14,Boot delay (seconds),Paleidimo delsa (sekundėmis)
PBSystemTab#15,Alt+S,Alt+I
PBSystemTab#16,Kernel Options,Branduolio nuostatos
PBSystemTab#17,Tasks,Užduotys
PBSystemTab#18,Fetch &System Source,Atsiųsti sistemos p&irminius tekstus
PBSystemTab#19,Portsnap,Portsnap
PBSystemTab#20,Fetch &Ports,Atsiųsti &portus
PBSystemTab#21,Alt+P,Alt+P
PBSystemTab#22,System Source,Sistemos pirminiai tekstai
PBSystemTab#23,CPU Type:,Procesoriaus tipas:
PBSystemTab#24,System Memory:,Sistemos atmintis:
PBSystemTab#25,CSup,CSup
PBSystemTab#26,Misc,Įvairūs
PBSystemTab#27,Boot Screen,Įkrovos ekranas
PBSystemTab#28,S&how splash image on boot,&Rodyti prisistatymo langą įkrovos metu
PBSystemTab#29,Alt+H,Alt+R
PBSystemTab#30,&Custom...,&Savadarbis...
PBSystemTab#31,Invalid Image,Klaidingas paveikslas
PBSystemTab#32,The file supplied does not appear to be a valid PCX image.,Šis failas nėra tinkamas PCX paveikslas.
PBSystemTab#33,"The splash screen image cannot be any larger than 1024x768, or any greater than 8-bit (256 colours) depth.",Įkrovos ekrano paveikslas negali būti didesnis nei 1024x768 ir negali turėti daugiau nei 256 spalvų (8-bit).
PBSystemTab#34,Custom,Savadarbis
PortsnapProgress#1,Portsnap Progress,Porstnap eiga
PortsnapProgress#2,Total Progress,Bendra eiga
PortsnapProgress#3,&Cancel,A&tsisakyti
PortsnapProgress#4,Alt+C,Alt+T
PortsnapProgress#5,Task Progress...,Užduoties eiga...
PortsnapProgress#6,Update Failed!,Naujinimas nepavyko!
PortsnapProgress#7,"Unable to connect to server. Possible causes:
- Your network is down
- Target server is unresponsive.","Nepavyko prisijungti prie serverio. Galimos priežastys:
- nėra ryšio su internetu
- paskirties serveris neatsiliepia."
