comment,original,translation
PCInstall#133,"You will now need to select the drive or partition that you wish to install PC-BSD onto. (Warning: Choosing an extended partition will erase any logical partitions!)
If you wish to load PC-BSD as the only operating system on this system, you will want to select ""Use entire disk"" for the partition. If you want to dual-boot with another operating system, you will need to select one of the primary partitions to continue. A boot loader is not needed if entire disk is used by PC-BSD.","Dabar jums reikės pasirinkti diską ar skirsnį į kurį norite įdiegti PC-BSD (Įspėjimas: pasirinkus išplėstajį skaidinį bus sunaikinta informacija apie loginius skaidinius)
Jei jūs norite naudoti PC-BSD kaip vienintelę operacinę sistemą skaidiniui pasirinkite ""Naudoti visą diską"". Jei kompiuteryje norėsite turėti kelias operacines sistemas, tai norint tęsti jums reikės pasirinkti vieną iš pagrindinių skaidinių. Jei PC-BSD naudos visą diską, įkrovos programa yra nereikalinga."
PCInstall#134,Customize the partition layout. (Advanced),Tinkinti skaidinio išdėstymą. (Sudėtingiau)
PCInstall#135,"PC-BSD can setup partitions on the particular drive / slice you selected for install. Here you may edit the sizes and mount points of partitions to fit your particular system needs. If you wish, you may customize the PC-BSD partition setup below, changing default sizes and add or remove partitions.

SWAP space encryption is good security addition for portable computer users and can help guard sensitive data.","PC-BSD gali sukurti skaidinius pasirinktame diegimui diske. Čia jūs galite keisti skaidinių dydžius ir prijungimo vietas, kad tenkintų jūsų poreikius. Jei norite, tai galite tinkinti PC-BSD diegimą. SWAP vietos šifravimas yra geras būdas apsaugoti nešiojamų kompiuterių vartotojus ir gali padėti apsaugoti svarbią informaciją."
PCInstall#136,System Components,Sistemos komponentai
PCInstall#137,<h1>System Components</h1>,<h1>Sistemos komponentai</h1>
PCInstall#138,Available Components,Galimi komponentai
PCInstall#139,Selected Components,Parinkti komponentai
PCInstall#140,"When you click ""Next"" the installer will then format your drive or partitions, and install PC-BSD onto the system.","Kai Jūs paspausite ""Toliau"" diegimo programa sužymės jūsų diską arba skaidinį ir įdiegs PC-BSD į sistemą."
PCInstall#141,"Thank you for choosing PC-BSD as your operating system! Please sit back and relax while your system is installed.

After your system is loaded, you may wish to visit us on the web at www.pcbsd.org. The PC-BSD website is your portal to all things related to PC-BSD. Browse our FAQs, download software, or participate in our forums.","Ačiū, kad renkatės PC-BSD kaip savo operacinę sistemą! Prašome šiek tiek palaukti, kol jūsų sistema yra diegiama.

Po to kai jūsų sistema užsikraus, jūs galite aplankyti mus www.pcbsd.org. PC-BSD tinklapyje rasite viską apie PC-BSD. Peržiūrėkite DUKs, atsisiųskite programinę įrangą arba dalyvaukite mūsų forumuose."
PCInstall#142,"Thank you for installing this release of PC-BSD! 

We at the the PC-BSD team wish to thank all our dedicated users and developers for making this release possible. If you wish to help with future releases of PC-BSD, please visit the Team page at www.pcbsd.org","Ačiū, kad pasirinkote šią PC-BSD laidą.

Mūsų PC-BSD komanda nori padėkoti visiems atsidavusiems naudotojamas ir programuotojams, kurie prisidėjo prie šios laidos. Jei jūs norite padėti su būsimom PC-BSD laidom, tai prašome aplankyti komandos tinklapį www.pcbsd.org"
PCInstall#143,Installing additional components...,Įdiegiami papildomi komponentai...
PCInstall#144,Keyboard Settings,Klaviatūros nustatymai
PCInstall#145,Layout:,Išdėstymas:
PCInstall#146,Variant:,Variantas:
PCInstall#147,&Change Keyboard,&Pakeisti klaviatūrą
PCInstall#148,Alt+C,Alt+P
PCInstall#149,us - USA,us - USA
PCInstall#150,Model:,Modelis:
PCInstall#151,pc105 - Generic 105-key PC,pc105 - bendra 105 klavišų PC
PCInstall#152,off - Using default layout,išjungtas - naudojamas numatytasis išdėstymas
PCInstall#153,"BSD licenses represent a family of a permissive free software licenses. The original was used for the Berkeley Software Distribution, a Unix-like operating system for which the license is named. The original owners of BSD were the Regents of the University of California because BSD was first written at the University of California, Berkeley. The first version of the license was revised, and the resulting licenses are more properly called modified BSD licenses. For complete license details visit: http://www.pcbsd.org/content/view/32/26/","BSD licencijos atstovauja laisvos programinės įrangos licencijų grupę. Pradinė licencija buvo naudojama Berklio Programinės įrangos Unix tipo operacinės sistemos distribucijoje, pagal kurią ir buvo pavadinta. Pirmieji BSD sąvininkai buvo Kalifornijos universiteto valdybos nariai, nes BSD buvo sukurta Kalifornijos universitete, Berklyje. Pirmoji licencijos versija buvo peržiūrėta ir naujos licencijos vadinamos pakeistomis BSD licencijomis. Pilną licencijos aprašymą galite rasti: http://www.pcbsd.org/content/view/32/26/"
PCInstall#154,"If this is a new system, with no existing PC-BSD setup, you will want to perform a ""Fresh Install"".  

If you are updating your existing PC-BSD system to a different version, or wish to repair a PC-BSD system, select ""System Update / Repair"".","Jei tai nauja sistema, be įdiegtos PC-BSD, jums reikia vykdyti ""Naują diegimą"".  

Jei naujinate įdiegtą PC-BSD sistemą, ar norite sutaisyti neužsikraunančią PC-BSD sistemą - rinkitės ""Sistemos naujinimas / taisymas""."
PCInstall#155,Installation Choice,Diegimo pasirinkimas
PCInstall#156,Desktop Edition,Darbalaukio laida
PCInstall#157,Server Edition,Serverio laida
PCInstall#158,Installation Method,Diegimo būdas
PCInstall#159,Install from CD/DVD/USB,Diegti iš CD/DVD/USB
PCInstall#160,Install from Network,Diegti iš tinklo
PCInstall#161,/bin/csh,/bin/csh
PCInstall#162,/bin/tcsh,/bin/tcsh
PCInstall#163,/bin/sh,/bin/sh
PCInstall#164,File System (Advanced),Failų sistema (sudėtingesnė)
PCInstall#165,Leave as default if unsure!,"Jei nesate įsitikinęs, palikite kaip nustatyta!"
PCInstall#166,"PC-BSD has several optional components which some users may wish to install. You may select any of the components above that you wish to load on your system. 

Note: If performing a CD install you will need CD #3 to install any of the above components.","PC-BSD turi kelis neprivalomus komponentus, kuriuos kai kurie vartotojai norės įdiegti. Galite pasirinkti juos aukščiau, jie bus įdiegti į sistemą. 

Pastaba: jei diegiama iš CD, aukščiau pasirinktiems komponentams įdiegti bus reikaligas CD #3."
PCInstall#167,"Installation is now complete! You may now remove the installation media from the drive. When you click reboot, the system will automatically restart. You will be prompted to setup your display resolution during the startup process. 

Need help with something? Please checkout our FAQs at faqs.pcbsd.org or post your questions at forums.pcbsd.org.","Diegimas baigtas! Dabar galite išimti diegimo laikmeną iš įrenginio. Paspaudus mygtuką ""Perkrauti"" sistema bus automatiškai perkrauta. Paleidimo metu jums reikės nurodyti savo vaizduoklio skiriamąją gebą.

Reikia pagalbos? Prašome perskaityti DUK faqs.pcbsd.org arba užduoti klausimus forume forums.pcbsd.org."
PCInstall#168,Cancel,Atsisakyti
PCInstall#169,"Error: Could not load the install disc. Please check that the CD/DVD is in the drive.
 Press OK to try again, or Cancel to reboot the system.","Klaida: nepavyko užkrauti diegimo disko. Prašome patikrinti ar CD/DVD diskas yra įrenginyje.
 Norėdami pabandyti dar kartą, spauskite ""Gerai"". Jei norite perkrauti sistemą, spauskite ""Atsisakyti""."
PCInstall#170,Failed Starting PCBSD.InstallCD1.sh,Nepavyko paleisti PCBSD.InstallCD1.sh
PCInstall#171,You cannot remove the '/bootdir' partition. ,Jūs negalite pašalinti '/bootdir' skaidinio. 
PCInstall#172,"Error: Could not locate CD #2. Please check that the CD is in the drive. Press OK to try again, or Cancel to abort install.","Klaida: nerastas CD #2. Prašome patikrinti ar jis yra įrenginyje. Norėdami pakartoti, spauskite ""Gerai"", arba ""Atsisakyti"", norėdami nutraukti diegimą."
PCInstall#173,Installing CD2...,Diegiamas CD2...
PCInstall#174,Unmounting CD #2...,Atjungiamas CD #2...
PCInstall#175,Insert CD #3,Įdėkite CD #3
PCInstall#176,Insert CD #3 and click OK to continue. ,"Įdėkite CD #3 ir spauskite ""Gerai"" norėdami tęsti. "
PCInstall#177,Mounting CD #3...,Prijungiamas CD #3...
PCInstall#178,"Error: Could not locate CD #3. Please check that the CD is in the drive. Press OK to try again, or Cancel to abort install.","Klaida: nerastas CD #3. Prašome patikrinti ar CD yra įrenginyje. Norėdami pabandyti iš naujo, spauskite ""Gerai"", arba ""Atsisakyti"", norėdami nutraukit diegimą."
PCInstall#179,Enabling NIC,Įjungiamas NIC
PCInstall#180,Failed to setup a network connection!,Nepavyko nustatyti tinklo ryšio!
PCInstall#181,Confirming valid network location,Patvirtinamas teisingas tinklo adresas
PCInstall#182,The specified URL does not appear to be a valid install location. Please check the network location and try again.,Nurodytas URL nėra teisinga diegimo vieta. Patikrinkite tinklo adresą ir bandykite dar kartą.
PCInstall#183,ZFS Warning,ZFS įspėjimas
PCInstall#184,"Warning: ZFS usage is primarily for high-end systems with a 64 bit processor and 4+ GB of memory. It may run on lesser hardware, but is not recommended.",Įspėjimas: ZFS skirta naudoti galingose sistemose su 64 bitų procesoriumi ir daugiau nei 4 GB operatyviosios atminties. Naudoti silpnesnėse sistemose nerekomenduojama.
PCInstall#185,Version 7,7-toji versija
PCInstall#186,/bin/bash,/bin/bash
PCInstall#187,Version:,Versija:
PCInstall#188,Install software with a click,Įdiekite programinę įrangą pelės paspaudimu
WorkingDialog#1,Working Dialog,Darbo dialogo langas
dialogKeyboard#1,Keyboard Settings,Klaviatūros nustatymai
dialogKeyboard#2,Model,Modelis
dialogKeyboard#3,Layout,Išdėstymas
dialogKeyboard#4,Variant,Variantas
dialogKeyboard#5,&Save,&Išsaugoti
dialogKeyboard#6,Alt+S,Alt+I
dialogKeyboard#7,&Cancel,A&tsisakyti
dialogKeyboard#8,Alt+C,Alt+T
dialogSelectNetServer#1,Select Installation Source,Diegimo šaltinio pasirinkimas
dialogSelectNetServer#2,Install from Internet ,Diegti iš interneto 
dialogSelectNetServer#3,Install from specified server,Diegti iš nurodyto serverio
dialogSelectNetServer#4,Local Network Install,Diegti iš vietinio tinklo
dialogSelectNetServer#5,Enter the server name,Įveskite serverio vardą
dialogSelectNetServer#6,FTP,FTP
dialogSelectNetServer#7,HTTP,HTTP
dialogSelectNetServer#8,Enter the directory path,Įveskite kelią į katalogą
dialogSelectNetServer#9,Select,Pasirinkti
dialogSelectNetServer#10,Cancel,Atsisakyti
