comment,original,translation
updaterStatus#1,Installing Updates,"
            "
updaterStatus#2,The system is currently installing the following updates:,"
            "
updaterStatus#3,&Close,"
            "
updaterStatus#4,Alt+C,"
            "
updaterStatus#5,Name,"
            "
updaterStatus#6,Size,"
            "
updaterStatus#7,Status,"
            "
updaterStatus#8,ID,"
            "
updaterStatus#9,Version,"
            "
updaterStatus#10, of ,"
            "
